Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Samar;Santa Rita;Alegria;1;2,3;1,6;2,421053;15,861111;73,4252;254;49;299,1649;0;705,896 ;0;30;22;0;99,753598;0,003086
Samar;Santa Rita;Aslum;1;2,3;1,6;0,227;15,861111;3,007392;1191;230;764,966;0;1,048,474 ;0;69;31;0;88,885052;0,001212
Samar;Santa Rita;Cabunga-An;0,1;0,2;0,1;0,227;15,861111;16,4998;569;110;248,8423;0;821,063 ;0;50;12;0;86,020089;0,003081
Samar;Santa Rita;Cansadong;0,1;0,2;0,1;0,227;15,861111;50,0582;381;73;642,6742;0;752,329 ;0;50;16;0;89,969864;0,00425
Samar;Santa Rita;Dampigan;1;2,3;1,6;2,421053;15,861111;101,95;1951;376;833,0303;0;1,326,338 ;0;105;105;0;94,550317;0,007371
Samar;Santa Rita;Hinangudtan;0,1;0,2;0,1;0,227;15,861111;117,65;1441;278;8812157;0;1,139,876 ;0;73;16;0;92,730972;0,00609
Samar;Santa Rita;La Paz;1;2,3;1,6;2,421053;15,861111;24,8814;209;40;196,0501;0;689,444 ;0;100;28;0;95,38921;0,000889
Samar;Santa Rita;Lupig;1;2,3;1,6;2,421053;15,861111;14,8108;987;190;686,5303;0;973,889 ;0;100;28;0;102,919593;0,007346
Samar;Santa Rita;New Manunca;1;2,3;1,6;0,227;15,861111;2,561677;497;96;303,2845;0;794,740 ;0;81;29;1;86,00551;0,006815
Samar;Santa Rita;Rosal Poblacion;1;2,3;1,6;0,227;15,861111;40,7812;1144;220;197,2129;0;1,031,290 ;0;54;5;1;90,121711;0
Samar;Santa Rita;San Juan;1;2,3;1,6;2,421053;15,861111;4,507005;801;154;202;0;905,885 ;0;77;112;0;94,518608;0,007172
Samar;Santa Rita;San Pedro;1;2,3;1,6;2,421053;15,861111;24,7735;741;143;552,424;0;883,949 ;1;55;134;0;99,869627;0,010074
Samar;Santa Rita;Santan Poblacion;1;2,3;1,6;0,227;15,861111;3,545187;803;155;186,4721;0;906,616 ;0;35;10;1;78,35119;0,004045
Samar;Santa Rita;Tagacay;0,1;0,2;0,1;0,227;7,322222;42,9819;874;168;695,7555;0;932,575 ;0;74;11;0;86,020089;0,00473
Samar;Tarangnan;Bonga;0,2;0,5;0,3;0,548387;7,322222;45,4383;905;181;277,8834;0;943.909;0;0;0;0;85,006406;0,000412
Samar;Tarangnan;Cabunga-An;0,1;0,2;0,1;0,548387;7,322222;57,1769;688;174;426,8359;0;864.571;0;0;0;0;87,575211;0,002176
Samar;Tarangnan;Cagtutulo;0,2;0,5;0,3;0,548387;7,322222;6,366788;688;174;357,632;0;864.571;0;0;0;0;97,261034;0,005096
Samar;Tarangnan;Dapdap;0,1;0,2;0,1;0,548387;7,322222;452,917;862;172;980,1372;0;928.188;0;0;0;0;92,780579;0,000862
